City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
222,puerto ayora,0.3373,-91.4074,25.66,81,9,3.28,1690381615
223,vadso,79.1433,30.0549,1.25,90,95,3.93,1690381615
224,isafjordur,70.5572,-26.9269,4.75,98,100,1.68,1690381616
225,hotan,37.3377,82.9433,33.15,18,57,4.63,1690381616
226,richmond hill,31.5696,-81.1903,30.07,65,76,1.58,1690381616
227,kourou,12.5457,-49.6328,27.94,77,26,7.37,1690381616
228,sechura,-5.8944,-81.5719,22.14,78,95,5.52,1690381617
229,edinburgh of the seven seas,-27.7092,-21.1547,19.57,59,88,3.32,1690381617
230,sao joao da barra,-28.2862,-29.4999,20.55,68,93,2.44,1690381617
231,tazovsky,87.9872,76.5867,-0.91,93,78,3.52,1690381617
232,wailua homesteads,35.1428,-173.0922,22.49,85,96,6.91,1690381617
233,edinburgh of the seven seas,-81.9801,1.6406,-37.48,98,100,5.82,1690381618
234,port mathurin,-27.1459,62.8114,18.99,82,100,2.22,1690381618
235,bethel,69.2034,-160.6535,14.46,89,100,1.34,1690381618
236,san luis,21.3872,-83.6821,29.55,71,21,6.89,1690381618
237,bilibino,89.3553,164.3454,-0.13,92,100,6.9,1690381619
238,ruayer,42.8512,-5.4772,26.66,40,10,1.25,1690381619
239,springbok,-30.4881,16.9769,13.79,88,97,6.52,1690381619
240,enewetak,20.8023,158.4537,27.45,72,100,4.32,1690381619
241,grytviken,-51.8537,-29.4756,0.93,85,58,11.15,1690381620
242,luwuk,-1.5337,124.6944,26.57,77,66,2.35,1690381620
243,adamstown,-50.8659,-116.3104,4.45,96,100,14.7,1690381620
244,puerto ayora,-10.4675,-109.2854,24.85,69,100,8.28,1690381621
245,vadso,74.1311,28.7516,7.81,96,100,4.38,1690381621
246,hawaiian paradise park,12.3163,-139.9079,26.43,80,91,10.35,1690381621
247,hawaiian paradise park,14.2981,-154.5236,25.66,86,17,8.64,1690381622
248,sidney,48.5915,-105.3547,22.55,38,75,1.34,1690381622
249,mount gambier,-47.6664,131.4949,8.63,95,100,6.6,1690381622
250,aasiaat,77.3698,-55.2449,-4.77,86,25,4.45,1690381622
251,papatowai,-83.7564,177.2424,-37.71,62,73,1.54,1690381623
252,avarua,-32.916,-157.8815,15.77,77,0,8.18,1690381623
253,georgetown,-11.9309,-22.9967,23.67,62,99,6.8,1690381623
254,taiohae,2.1207,-125.4404,26.15,80,84,6.6,1690381624
255,vauvert,43.6598,4.2812,29.78,28,0,5.14,1690381624
256,shibata,37.7927,139.5754,19.91,90,1,0.54,1690381624
257,vilyuysk,62.5766,121.4835,14.91,57,96,2.75,1690381625
258,saint-philippe,-24.5449,57.7298,20.93,74,29,4.14,1690381626
259,papatowai,-83.0019,167.4784,-23.2,48,91,4.51,1690381626
260,salym,59.979,71.2183,17.79,91,98,3.75,1690381627
261,iskateley,73.7259,53.7343,13.6,69,89,3.7,1690381632
262,udachny,76.1038,112.6657,9.3,62,25,1.71,1690381633
263,colonia,10.9208,136.0199,27.26,84,100,8.26,1690381633
264,praia da vitoria,46.6611,-25.6598,19.18,96,100,7.19,1690381633
265,albany,-69.7185,116.0464,-52.36,65,0,11.44,1690381634
266,edinburgh of the seven seas,-49.205,-15.512,2.38,66,100,13.24,1690381634
267,ingeniero jacobacci,-40.3113,-69.8203,0.98,74,100,1.57,1690381634
268,adamstown,-33.5365,-114.9369,19.34,78,65,21.34,1690381635
269,ushuaia,-84.1713,-62.4097,-23.92,80,100,1.94,1690381635
270,kolonia town,10.6453,155.4923,28.57,77,95,7.49,1690381635
271,port-aux-francais,-44.1885,51.6118,7.4,98,100,9.1,1690381636
272,laguna,-32.4858,-42.6485,18.56,93,100,9.32,1690381636
273,mumford,4.1652,-0.1146,25.16,87,98,6.42,1690381636
274,fuglafjordur,63.8789,-7.7339,8.86,85,100,3.35,1690381636
275,lobito,-11.7944,12.925,21.75,76,0,4.34,1690381637
276,quezon,10.6648,117.4512,28.39,84,100,10.37,1690381637
277,codrington,21.2381,-55.269,27.58,77,99,8.1,1690381638
278,hasaki,28.4705,150.3223,28.28,78,89,6.77,1690381638
279,wailua homesteads,31.342,-167.4608,23.99,78,94,7.75,1690381639
280,jamestown,-7.3932,-4.6296,23.02,77,100,5.62,1690381639
281,vytegra,60.6824,36.2808,19.15,85,100,1.64,1690381639
282,port-aux-francais,-46.9839,92.227,5.58,64,100,6.14,1690381640
283,st. john's,48.0388,-38.9486,16.91,88,100,5.68,1690381640
284,olonkinbyen,80.7911,-9.0941,-0.26,97,100,2.71,1690381640
285,labuan,-6.4689,104.683,27.06,74,49,8.83,1690381641
286,kulia village,-3.2186,177.8812,28.52,74,100,5.68,1690381641
287,puerto natales,-53.317,-72.9818,-0.7,76,98,4.26,1690381641
288,tangalle,-3.5212,85.6058,27.97,79,70,8.51,1690381642
289,zag,28.2299,-9.1994,40.07,10,0,10.42,1690381642
290,bardai,21.2128,16.2002,37.19,7,3,7.11,1690381642
291,volodymyrets',51.4295,26.0519,21.77,60,100,3.32,1690381642
292,kingston,-31.2342,161.383,15.43,62,0,5.14,1690381643
293,adamstown,-40.6173,-107.0305,11.17,95,100,6.69,1690381643
294,colonia,8.5741,142.8546,27.8,84,100,14.81,1690381643
295,chernyshevskiy,63.6567,111.4154,17.81,75,20,4.42,1690381646
296,alotau,-12.3209,149.9405,25.16,80,91,11.86,1690381646
297,camayenne,7.7744,-16.7788,26.45,81,97,5.15,1690381646
298,phalaborwa,-24.0787,31.4118,21.4,34,5,3.07,1690381647
299,jayapura,0.8736,139.6393,28.29,76,94,2.45,1690381647
300,punta arenas,-73.5724,-84.8853,-23.91,98,100,4.43,1690381647
301,blackmans bay,-71.3813,134.4702,-61.23,94,6,6.16,1690381648
302,puerto ayora,-12.0576,-103.7655,23.91,71,100,9.76,1690381648
303,urcos,-13.7687,-71.4611,4.6,35,0,1.96,1690381648
304,puerto natales,-65.9489,-97.683,-1.69,92,100,11.55,1690381649
305,port mathurin,-27.987,68.0741,20.6,85,50,6.75,1690381650
306,albany,-50.1493,116.4906,5.61,92,100,16.92,1690381650
307,mount gambier,-55.2779,129.0317,1.67,80,100,14.8,1690381651
308,geraldton,-31.9462,108.2095,14.95,64,96,11.79,1690381651
309,bikenibeu village,4.7732,177.8518,26.96,79,96,1.6,1690381652
310,aghsu,40.5399,48.3343,32.14,41,57,3.74,1690381652
311,hong kong,21.4217,115.1123,30.81,73,95,3.84,1690381653
312,kalmunai,7.3024,84.7367,27.79,86,99,9.46,1690381653
313,waitangi,-35.9537,-164.7681,14.2,86,2,9.84,1690381654
314,bredasdorp,-72.4929,24.3862,-32.71,40,98,13.58,1690381654
315,badger,76.6902,-136.7479,1.19,97,100,1.44,1690381654
316,port elizabeth,-55.6128,32.3647,-0.08,83,76,14.74,1690381655
317,macae,-22.6975,-40.7553,22.78,79,95,10.2,1690381655
318,blackmans bay,-56.3407,145.7665,1.36,84,79,16.47,1690381656
319,bethel,67.2403,-174.4299,4.59,97,94,5.54,1690381656
320,edinburgh of the seven seas,-64.3913,3.8857,-15.17,94,100,6.36,1690381657
321,am timan,9.8657,20.5268,24.18,84,100,1.49,1690381657
322,luderitz,-28.3525,5.2691,17.08,69,0,4.55,1690381657
323,papatowai,-71.5356,170.0111,-31.21,75,68,1.05,1690381657
324,fort bragg,36.8378,-127.4918,16.46,91,0,7.02,1690381658
325,chatham,39.5368,-89.6931,28.83,76,100,8.39,1690381658
326,broken hill,-26.9804,141.2246,16.44,39,0,5.39,1690381659
327,dunblane,56.2954,-4.0358,18.76,77,79,3.77,1690381659
328,ust-nera,73.6516,149.2491,-0.08,94,69,2.74,1690381659
329,timimoun,29.1623,-0.2191,48.0,4,0,1.92,1690381660
330,gadzhiyevo,85.7363,40.2967,0.06,88,100,2.88,1690381660
331,bilibino,85.3145,156.3753,-0.2,96,100,6.79,1690381660
332,borogontsy,66.6378,132.3207,8.35,78,8,2.74,1690381660
333,anadyr,55.9123,172.4088,9.74,94,100,5.11,1690381661
334,hamilton,28.0176,-66.5133,28.36,68,88,6.46,1690381661
335,jamestown,-17.7357,-4.0938,19.45,69,76,8.4,1690381661
336,happy valley-goose bay,54.8153,-62.5463,18.36,58,75,6.48,1690381662
337,tarata,-17.8795,-65.9206,18.94,14,0,1.49,1690381662
338,kone,-19.5516,163.5682,22.01,62,99,11.37,1690381662
339,edinburgh of the seven seas,-45.5039,-19.3743,4.97,63,100,12.72,1690381663
340,tabou,0.1777,-5.3963,24.13,81,87,5.3,1690381663
341,college,81.0323,-145.4729,0.57,96,100,1.51,1690381663
342,longyearbyen,81.8564,17.1133,0.27,98,100,4.37,1690381664
343,okha,53.0381,145.5557,11.08,98,100,9.91,1690381664
344,iqaluit,80.0283,-88.3386,9.61,83,60,2.59,1690381665
